"COUNTY","YEAR","WATER_SYSTEM_NUMBER","VIOLATION_TYPE_NAME","REGULATING_AGENCY","VIOL_MONTH","WaterSystemName","FederalWaterSystemType","StateWaterSystemType","WaterSystemStatus","OwnerType","PrimaryWaterSourceType","ResidentialPopulation","NonTransientPopulation","TransientPopulation","TotalPopulation","SC_Agricultural","SC_Combined","SC_Commercial","SC_Institutional","SC_Residential","SC_Total","FeeCodeDescription","SNSVVisitDate","CITY","TreatmentPlantClass","DistributionSystemClass","Kids","Teen","Senior","Adult1","Adult2"
"MADERA",2012,"CA2000737","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"MD 42 STILL MEADOW","Community","Community","ACTIVE","Local","Groundwater",100,0,0,100,NA,34,0,0,0,34,"Small Community","3/2/2016","OAKHURST","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000737","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"MD 42 STILL MEADOW","Community","Community","ACTIVE","Local","Groundwater",100,0,0,100,NA,34,0,0,0,34,"Small Community","3/2/2016","OAKHURST","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000737","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"MD 42 STILL MEADOW","Community","Community","ACTIVE","Local","Groundwater",100,0,0,100,NA,34,0,0,0,34,"Small Community","3/2/2016","OAKHURST","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000737","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"MD 42 STILL MEADOW","Community","Community","ACTIVE","Local","Groundwater",100,0,0,100,NA,34,0,0,0,34,"Small Community","3/2/2016","OAKHURST","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000737","MCL, SINGLE SAMPLE","LPA50 - MADERA COUNTY",1,"MD 42 STILL MEADOW","Community","Community","ACTIVE","Local","Groundwater",100,0,0,100,NA,34,0,0,0,34,"Small Community","3/2/2016","OAKHURST","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000785","MCL,  AVERAGE","LPA50 - MADERA COUNTY",10,"VALLEY TEEN RANCH","Community","Community","ACTIVE","Private","Groundwater",50,0,0,50,NA,4,0,0,0,4,"Small Community","6/7/2016","MADERA","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000785","MCL,  AVERAGE","LPA50 - MADERA COUNTY",10,"VALLEY TEEN RANCH","Community","Community","ACTIVE","Private","Groundwater",50,0,0,50,NA,4,0,0,0,4,"Small Community","6/7/2016","MADERA","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000800","MCL, SINGLE SAMPLE","LPA50 - MADERA COUNTY",1,"MARQUEZ RENTAL","Community","Community","ACTIVE","Private","Groundwater",50,0,0,50,NA,20,0,0,0,20,"#N/A","6/28/2016","FIREBAUGH","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL, SINGLE SAMPLE","LPA50 - MADERA COUNTY",1,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL, SINGLE SAMPLE","LPA50 - MADERA COUNTY",1,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL, SINGLE SAMPLE","LPA50 - MADERA COUNTY",7,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2000828","MCL, SINGLE SAMPLE","LPA50 - MADERA COUNTY",7,"SHADY OAKS MOBILE HOME PARK LLC","Community","Community","ACTIVE","Private","Groundwater",40,0,0,40,NA,21,0,0,0,21,"#N/A","6/26/2015","NORTH FORK","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",1,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",1,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",1,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",4,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",4,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",4,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",7,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",7,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",7,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",10,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",10,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010007","MCL,  AVERAGE","DISTRICT 11 - MERCED",10,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Community","Community","ACTIVE","Private","Groundwater",3818,0,0,4328,NA,1043,0,0,0,1043,"Disadvantaged Large Community Water System","12/7/2016","OAKHURST","Treatment Operator Level 2","Distribution Operator Level 3",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",1,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",4,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",4,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",4,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",7,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",7,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",7,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",10,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",10,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2012,"CA2010012","MCL,  AVERAGE","DISTRICT 11 - MERCED",10,"HILLVIEW WATER CO-RAYMOND","Community","Community","ACTIVE","Private","Groundwater",307,0,0,307,NA,94,0,0,0,94,"Disadvantaged Small Community Water System","11/17/2015","RAYMOND","#N/A","Distribution Operator Level 1",26493,23994,11477,21364,67486
"MADERA",2013,"CA2000506","MCL, SINGLE SAMPLE","LPA50 - MADERA COUNTY",1,"SIERRA LINDA MUTUAL WATER CO","Community","Community","ACTIVE","Private","Groundwater",180,0,0,180,NA,89,0,0,0,89,"#N/A","12/9/2016","WISHON","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000506","MCL, SINGLE SAMPLE","LPA50 - MADERA COUNTY",1,"SIERRA LINDA MUTUAL WATER CO","Community","Community","ACTIVE","Private","Groundwater",180,0,0,180,NA,89,0,0,0,89,"#N/A","12/9/2016","WISHON","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000512","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"EAST ACRES MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",250,0,0,250,NA,81,0,0,0,81,"#N/A","6/25/2015","FIREBAUGH","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000512","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"EAST ACRES MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",250,0,0,250,NA,81,0,0,0,81,"#N/A","6/25/2015","FIREBAUGH","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000512","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"EAST ACRES MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",250,0,0,250,NA,81,0,0,0,81,"#N/A","6/25/2015","FIREBAUGH","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000512","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"EAST ACRES MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",250,0,0,250,NA,81,0,0,0,81,"#N/A","6/25/2015","FIREBAUGH","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000512","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"EAST ACRES MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",250,0,0,250,NA,81,0,0,0,81,"#N/A","6/25/2015","FIREBAUGH","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000512","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"EAST ACRES MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",250,0,0,250,NA,81,0,0,0,81,"#N/A","6/25/2015","FIREBAUGH","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000512","STATE PRIMARY MCL VIOL - NOT CR6","LPA50 - MADERA COUNTY",9,"EAST ACRES MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",250,0,0,250,NA,81,0,0,0,81,"#N/A","6/25/2015","FIREBAUGH","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000512","STATE PRIMARY MCL VIOL - NOT CR6","LPA50 - MADERA COUNTY",9,"EAST ACRES MUTUAL WATER COMPANY","Community","Community","ACTIVE","Private","Groundwater",250,0,0,250,NA,81,0,0,0,81,"#N/A","6/25/2015","FIREBAUGH","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000527","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"YOSEMITE FORKS EST MUTUAL","Community","Community","ACTIVE","Private","Groundwater",110,0,0,110,NA,99,0,0,0,99,"#N/A","6/23/2017","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000527","MCL,  AVERAGE","LPA50 - MADERA COUNTY",3,"YOSEMITE FORKS EST MUTUAL","Community","Community","ACTIVE","Private","Groundwater",110,0,0,110,NA,99,0,0,0,99,"#N/A","6/23/2017","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000527","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"YOSEMITE FORKS EST MUTUAL","Community","Community","ACTIVE","Private","Groundwater",110,0,0,110,NA,99,0,0,0,99,"#N/A","6/23/2017","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000527","MCL,  AVERAGE","LPA50 - MADERA COUNTY",10,"YOSEMITE FORKS EST MUTUAL","Community","Community","ACTIVE","Private","Groundwater",110,0,0,110,NA,99,0,0,0,99,"#N/A","6/23/2017","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000538","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"CEDAR VALLEY MUTUAL WATER CO","Community","Community","ACTIVE","Private","Groundwater",137,0,0,137,NA,67,0,0,0,67,"#N/A","6/27/2017","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000538","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"CEDAR VALLEY MUTUAL WATER CO","Community","Community","ACTIVE","Private","Groundwater",137,0,0,137,NA,67,0,0,0,67,"#N/A","6/27/2017","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000538","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"CEDAR VALLEY MUTUAL WATER CO","Community","Community","ACTIVE","Private","Groundwater",137,0,0,137,NA,67,0,0,0,67,"#N/A","6/27/2017","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000538","MCL,  AVERAGE","LPA50 - MADERA COUNTY",10,"CEDAR VALLEY MUTUAL WATER CO","Community","Community","ACTIVE","Private","Groundwater",137,0,0,137,NA,67,0,0,0,67,"#N/A","6/27/2017","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",10,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000551","MCL,  AVERAGE","LPA50 - MADERA COUNTY",10,"MD 07 MARINA VIEW HEIGHTS","Community","Community","ACTIVE","Local","Groundwater",200,0,0,200,NA,83,0,0,0,83,"Small Community","4/7/2017","BASS LAKE","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000552","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"MD 24 TEAFORD MEADOW LAKES","Community","Community","ACTIVE","Local","Groundwater",150,0,0,150,NA,66,0,0,0,66,"#N/A","3/2/2016","NORTH FORK","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000552","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"MD 24 TEAFORD MEADOW LAKES","Community","Community","ACTIVE","Local","Groundwater",150,0,0,150,NA,66,0,0,0,66,"#N/A","3/2/2016","NORTH FORK","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000552","MCL,  AVERAGE","LPA50 - MADERA COUNTY",10,"MD 24 TEAFORD MEADOW LAKES","Community","Community","ACTIVE","Local","Groundwater",150,0,0,150,NA,66,0,0,0,66,"#N/A","3/2/2016","NORTH FORK","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000561","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"MD 08 NORTH FORK WATER SYSTEM","Community","Community","ACTIVE","Local","Groundwater",264,0,0,264,NA,67,0,0,0,67,"Small Community","3/2/2016","NORTH FORK","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000561","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"MD 08 NORTH FORK WATER SYSTEM","Community","Community","ACTIVE","Local","Groundwater",264,0,0,264,NA,67,0,0,0,67,"Small Community","3/2/2016","NORTH FORK","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000561","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"MD 08 NORTH FORK WATER SYSTEM","Community","Community","ACTIVE","Local","Groundwater",264,0,0,264,NA,67,0,0,0,67,"Small Community","3/2/2016","NORTH FORK","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000567","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"YOSEMITE HIGH SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,796,0,796,NA,1,0,0,0,1,"NonTransient-NonCommunity Water System","6/2/2011","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000567","MCL,  AVERAGE","LPA50 - MADERA COUNTY",1,"YOSEMITE HIGH SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,796,0,796,NA,1,0,0,0,1,"NonTransient-NonCommunity Water System","6/2/2011","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000567","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"YOSEMITE HIGH SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,796,0,796,NA,1,0,0,0,1,"NonTransient-NonCommunity Water System","6/2/2011","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000567","MCL,  AVERAGE","LPA50 - MADERA COUNTY",4,"YOSEMITE HIGH SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,796,0,796,NA,1,0,0,0,1,"NonTransient-NonCommunity Water System","6/2/2011","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000567","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"YOSEMITE HIGH SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,796,0,796,NA,1,0,0,0,1,"NonTransient-NonCommunity Water System","6/2/2011","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000567","MCL,  AVERAGE","LPA50 - MADERA COUNTY",7,"YOSEMITE HIGH SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,796,0,796,NA,1,0,0,0,1,"NonTransient-NonCommunity Water System","6/2/2011","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
"MADERA",2013,"CA2000567","MCL,  AVERAGE","LPA50 - MADERA COUNTY",10,"YOSEMITE HIGH SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,796,0,796,NA,1,0,0,0,1,"NonTransient-NonCommunity Water System","6/2/2011","OAKHURST","#N/A","Distribution Operator Level 1",25997,23744,11702,22124,68668
